COL4A5	31
DENND4B	31
DLGAP2	31
DOCK10	31
DOCK4	31
KATNIP	31
KDR	31
LTBP2	31
MIA3	31
MRC1	31
MTCL1	31
MYLK	31
NBAS	31
NCAM2	31
PCDHA3	31
PCDHA5	31
PCDHA9	31
PCDHGA8	31
PIK3R1	31
PPFIA2	31
PTPN14	31
PTPRU	31
RGS22	31
ROCK1	31
SCAF4	31
SETBP1	31
SOGA3	31
SRRM2	31
SULF1	31
SZT2	31
TPO	31
WDR17	31
WNK3	31
ZEB2	31
A2M	30
ABCB1	30
ALPK2	30
AMOTL1	30
ASCC3	30
ATP8A2	30
CACHD1	30
CASZ1	30
CCDC88A	30
CD93	30
CDH4	30
CDON	30
DIP2B	30
DISP1	30
DOCK9	30
DOP1A	30
DSP	30
EML5	30
EPHB1	30
FANCM	30
FSIP2	30
GRM1	30
HIVEP2	30
JMJD1C	30
KCNB1	30
KCNH1	30
KCNQ5	30
KIAA1549	30
KNL1	30
LIFR	30
LRFN5	30
LRRIQ3	30
LRRK1	30
MAGI2	30
MAP2K4	30
MAP3K21	30
MECOM	30
MSH6	30
NCAM1	30
NLGN4X	30
NRAP	30
PCDHA4	30
PCDHGB3	30
PIKFYVE	30
PLCE1	30
PREX1	30
RUNX1T1	30
SAMD9L	30
SLIT2	30
SLITRK2	30
SMARCA4	30
TANC2	30
TEAD2	30
TET3	30
TNKS2	30
TTK	30
VWA8	30
WWC3	30
YTHDC2	30
ZNF318	30
ZNF462	30
ADAMTS5	29
ADCY1	29
ANKHD1-EIF4EBP3	29
ARHGAP35	29
ARHGAP5	29
ASXL1	29
BDP1	29
BIVM-ERCC5	29
BRWD1	29
CACNA1S	29
CFAP47	29
CFAP65	29
CHD1	29
CNTN4	29
CNTN5	29
CYLC1	29
DDX60L	29
DLGAP3	29
DOCK1	29
DOCK11	29
EIF3A	29
ELOA2	29
FREM1	29
HDLBP	29
HEATR5B	29
KCNA5	29
KCNQ3	29
KCNT2	29
KDM2B	29
KIAA1549L	29
KIDINS220	29
KSR2	29
LAMC3	29
MCF2	29
MED13	29
MON2	29
MUC4	29
MUC6	29
MYH15	29
MYOM2	29
NES	29
NID2	29
NPHS1	29
PCDHA7	29
PCDHGA2	29
PCDHGA5	29
PHF20L1	29
PIK3C2G	29
PLEKHG4B	29
PLXNA2	29
PLXNA3	29
PLXNB1	29
PLXNB2	29
POLD1	29
RALGAPA1	29
RGS12	29
SCAPER	29
SIGLEC1	29
SMAD2	29
SMC1B	29
SPART	29
THBS2	29
TMEM132B	29
TNIK	29
TOGARAM2	29
TOP2B	29
TRIP11	29
TRPA1	29
TRPC3	29
UTP20	29
XYLT2	29
ZBED9	29
ZNF646	29
ZNF835	29
ABCA10	28
ABCA6	28
ABCA7	28
ABCB5	28
ACVR1B	28
AFF3	28
ANKRD12	28
ARFGEF2	28
ARMC4	28
ATAD5	28
AUTS2	28
B2M	28
BICRA	28
BLM	28
BPTF	28
CD163	28
CFAP43	28
CLUH	28
CNTN1	28
CTNND2	28
DCAF12L2	28
DCDC1	28
DIP2C	28
DNAJC13	28
EPB41L3	28
EPHA6	28
ERBB3	28
FAM47A	28
FBXL7	28
HCN4	28
HEATR1	28
HFM1	28
HTT	28
IGSF1	28
IRS1	28
ITSN1	28
KMT2E	28
LAMB4	28
LCOR	28
LCT	28
MARF1	28
MDGA2	28
MYO9A	28
MYOF	28
NINL	28
PCF11	28
PDGFRA	28
PIK3CG	28
PRKD1	28
RALGAPB	28
RPL22	28
SAGE1	28
SAMD9	28
SCN10A	28
SLIT3	28
SMC2	28
SMCHD1	28
SPECC1	28
SPG11	28
STAG1	28
STK31	28
TACC2	28
TEP1	28
TNRC6A	28
TP53BP1	28
TRANK1	28
TRPM2	28
USP24	28
USP28	28
ZNF208	28
ZNF638	28
ABCA8	27
ABCA9	27
ADCY5	27
ANKRD30A	27
ARHGAP20	27
ARHGAP31	27
ATP2B3	27
ATP8B1	27
ATP8B2	27
BAZ1A	27
CACNA2D1	27
CAD	27
CAMTA1	27
CCDC178	27
CD109	27
CDC42BPA	27
CDH11	27
CELSR3	27
CENPE	27
CEP162	27
CHD2	27
CHRM2	27
CIITA	27
CNTLN	27
COL19A1	27
CPS1	27
CRACD	27
CROCC	27
CTNNA1	27
CTNNA3	27
CTTNBP2	27
CUX1	27
DSPP	27
EFCAB5	27
EYS	27
FAM47B	27
FLG2	27
FRMPD3	27
GLI1	27
GRM6	27
GSE1	27
HNRNPL	27
INSRR	27
ITIH6	27
JAKMIP2	27
KCNH5	27
KIAA1755	27
KLHL4	27
LMO7	27
LRRN3	27
MAGI1	27
MBD5	27
MLH3	27
MYH3	27
MYH7B	27
MYO18A	27
NUP98	27
PCDH7	27
PCDHA1	27
PCDHB5	27
PCDHB6	27
PCDHB9	27
PCDHGA6	27
PCNX1	27
PDS5B	27
PDZRN4	27
PHF3	27
PI4KA	27
PLG	27
PPL	27
PPP1R3A	27
PRDM2	27
PRKCG	27
PRPF8	27
PRRC2C	27
PRTG	27
PTCH1	27
PTPRD	27
PZP	27
RASGRF1	27
RET	27
RNF17	27
SCN8A	27
SEMA5B	27
SNX13	27
SPATA31E1	27
SPTAN1	27
TLE4	27
TMPRSS15	27
TPTE	27
UBE4B	27
USP35	27
USP7	27
VIRMA	27
XIRP1	27
ZNF407	27
ZNF98	27
ABCA3	26
ABCA5	26
ABCB11	26
ADCY9	26
AKAP11	26
ALS2	26
AR	26
ARAP3	26
ARHGEF10	26
ATAD2B	26
ATP2A1	26
ATP2B2	26
ATP6V1B1	26
ATR	26
BAHCC1	26
BNC1	26
BRINP1	26
C8B	26
CACNA1I	26
CDK5RAP2	26
CHRD	26
CKAP5	26
COL24A1	26
COL3A1	26
CRB1	26
CRYBG3	26
CTR9	26
DIP2A	26
DMBT1	26
ELMO1	26
EXPH5	26
FAM184A	26
FRMD4A	26
GRIA4	26
GRIK4	26
GRIK5	26
GRM8	26
GUCY1A1	26
HCN1	26
HECTD1	26
HLA-B	26
IFT172	26
ITIH2	26
KCNH8	26
KCNMA1	26
KDM3B	26
KDM6B	26
KIAA2026	26
KIF13A	26
KIT	26
LINGO2	26
LTBP4	26
MAP7D1	26
MEGF6	26
MYO10	26
MYO7B	26
MYPN	26
N4BP2	26
NCAPD3	26
NID1	26
NOL6	26
NOS3	26
NOTCH2	26
NRXN3	26
NUMA1	26
NUP210L	26
OBSL1	26
OSMR	26
PARP14	26
PCDHB3	26
PHF2	26
PLEKHA6	26
