016c9c14-4c88-49f5-a11a-dd4bc282f11e	DDX23
016c9c14-4c88-49f5-a11a-dd4bc282f11e	DOP1B
016c9c14-4c88-49f5-a11a-dd4bc282f11e	DSC1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	EPHA4
016c9c14-4c88-49f5-a11a-dd4bc282f11e	FAM120A
016c9c14-4c88-49f5-a11a-dd4bc282f11e	FREM1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	FYCO1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	GALNT17
016c9c14-4c88-49f5-a11a-dd4bc282f11e	GDF15
016c9c14-4c88-49f5-a11a-dd4bc282f11e	GYS2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	HS3ST3A1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	IGHV3OR16-8
016c9c14-4c88-49f5-a11a-dd4bc282f11e	IPO8
016c9c14-4c88-49f5-a11a-dd4bc282f11e	IPP
016c9c14-4c88-49f5-a11a-dd4bc282f11e	IQCH
016c9c14-4c88-49f5-a11a-dd4bc282f11e	ITGA5
016c9c14-4c88-49f5-a11a-dd4bc282f11e	ITGB7
016c9c14-4c88-49f5-a11a-dd4bc282f11e	KCNQ2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	KIF2B
016c9c14-4c88-49f5-a11a-dd4bc282f11e	KMT2B
016c9c14-4c88-49f5-a11a-dd4bc282f11e	LRRC15
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MAP1S
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MCEE
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MED12
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MMP11
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MUC2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MXRA5
016c9c14-4c88-49f5-a11a-dd4bc282f11e	MYO18A
016c9c14-4c88-49f5-a11a-dd4bc282f11e	NBEA
016c9c14-4c88-49f5-a11a-dd4bc282f11e	NOXA1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	NRAS
016c9c14-4c88-49f5-a11a-dd4bc282f11e	OBSCN
016c9c14-4c88-49f5-a11a-dd4bc282f11e	OLFM1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	OR1G1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PARP4
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCDHGA3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCDHGA5
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCDHGA8
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCDHGB3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCNX1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PCYT1B
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PHIP
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PITPNM3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PLK1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	POLR3B
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PPP4R1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	PTPRD
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RBBP7
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RFX2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RIMS1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RING1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RPH3A
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RSPH10B2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	RYR1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	SIDT1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	SORCS1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	SOX9
016c9c14-4c88-49f5-a11a-dd4bc282f11e	SPZ1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TCERG1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TCP11L1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TENM1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TEX14
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TRPM3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TRPM4
016c9c14-4c88-49f5-a11a-dd4bc282f11e	TUBB1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	UBR4
016c9c14-4c88-49f5-a11a-dd4bc282f11e	UBTD1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	USP8
016c9c14-4c88-49f5-a11a-dd4bc282f11e	YTHDF2
016c9c14-4c88-49f5-a11a-dd4bc282f11e	ZNF607
01ad5016-f691-4bca-82a0-910429d8d25b	CACNG8
01ad5016-f691-4bca-82a0-910429d8d25b	CBLN2
01ad5016-f691-4bca-82a0-910429d8d25b	CNTLN
01ad5016-f691-4bca-82a0-910429d8d25b	FOXG1
01ad5016-f691-4bca-82a0-910429d8d25b	GPR26
01ad5016-f691-4bca-82a0-910429d8d25b	HECW1
01ad5016-f691-4bca-82a0-910429d8d25b	LPAR5
01ad5016-f691-4bca-82a0-910429d8d25b	MDGA2
01ad5016-f691-4bca-82a0-910429d8d25b	NAV3
01ad5016-f691-4bca-82a0-910429d8d25b	PRDM16
01ad5016-f691-4bca-82a0-910429d8d25b	RIMS2
01ad5016-f691-4bca-82a0-910429d8d25b	SIGLEC6
01ad5016-f691-4bca-82a0-910429d8d25b	TEPSIN
01ad5016-f691-4bca-82a0-910429d8d25b	TRIM65
01ad5016-f691-4bca-82a0-910429d8d25b	TRPS1
01f493d4-229d-47a6-baa8-32a342c65d01	ABCC10
01f493d4-229d-47a6-baa8-32a342c65d01	AKR1C4
01f493d4-229d-47a6-baa8-32a342c65d01	ALDH6A1
01f493d4-229d-47a6-baa8-32a342c65d01	ALG10B
01f493d4-229d-47a6-baa8-32a342c65d01	AP002512.3
01f493d4-229d-47a6-baa8-32a342c65d01	APC
01f493d4-229d-47a6-baa8-32a342c65d01	C22orf42
01f493d4-229d-47a6-baa8-32a342c65d01	CADPS
01f493d4-229d-47a6-baa8-32a342c65d01	CBLB
01f493d4-229d-47a6-baa8-32a342c65d01	CBLL2
01f493d4-229d-47a6-baa8-32a342c65d01	CDRT1
