Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
SPAG17	34	7.94393	8	5.16129	42	7.20412
SPEF2	34	7.94393	8	5.16129	42	7.20412
VPS13C	35	8.17757	7	4.51613	42	7.20412
ADAMTS2	37	8.64486	4	2.58065	41	7.03259
AKAP6	31	7.24299	10	6.45161	41	7.03259
ALMS1	31	7.24299	10	6.45161	41	7.03259
CDH23	34	7.94393	7	4.51613	41	7.03259
CNTNAP5	33	7.71028	8	5.16129	41	7.03259
CTNNA2	35	8.17757	6	3.87097	41	7.03259
EP400	34	7.94393	7	4.51613	41	7.03259
EPHA5	32	7.47664	9	5.80645	41	7.03259
FMN2	32	7.47664	9	5.80645	41	7.03259
MAP1B	36	8.41121	5	3.22581	41	7.03259
MAP3K4	36	8.41121	5	3.22581	41	7.03259
MTOR	39	9.11215	2	1.29032	41	7.03259
MYO15A	37	8.64486	4	2.58065	41	7.03259
NCKAP5	34	7.94393	7	4.51613	41	7.03259
PTPRS	39	9.11215	2	1.29032	41	7.03259
SVIL	37	8.64486	4	2.58065	41	7.03259
THSD7B	33	7.71028	8	5.16129	41	7.03259
A2ML1	35	8.17757	5	3.22581	40	6.86106
ADGRG4	30	7.00935	10	6.45161	40	6.86106
BRWD3	35	8.17757	5	3.22581	40	6.86106
KIF26B	32	7.47664	8	5.16129	40	6.86106
MBD6	37	8.64486	3	1.93548	40	6.86106
PAPPA	33	7.71028	7	4.51613	40	6.86106
PCDHA2	35	8.17757	5	3.22581	40	6.86106
PTPRK	34	7.94393	6	3.87097	40	6.86106
SCN3A	32	7.47664	8	5.16129	40	6.86106
SETX	32	7.47664	8	5.16129	40	6.86106
SLITRK1	31	7.24299	9	5.80645	40	6.86106
TIAM1	31	7.24299	9	5.80645	40	6.86106
TNS1	35	8.17757	5	3.22581	40	6.86106
TRIO	38	8.8785	2	1.29032	40	6.86106
USP34	34	7.94393	6	3.87097	40	6.86106
ZNF292	34	7.94393	6	3.87097	40	6.86106
ADAMTS20	31	7.24299	8	5.16129	39	6.68954
ADGRL2	32	7.47664	7	4.51613	39	6.68954
ATRX	31	7.24299	8	5.16129	39	6.68954
BNC2	36	8.41121	3	1.93548	39	6.68954
CACNA1B	33	7.71028	6	3.87097	39	6.68954
CHD4	34	7.94393	5	3.22581	39	6.68954
CHD6	31	7.24299	8	5.16129	39	6.68954
CHD8	34	7.94393	5	3.22581	39	6.68954
CNTN6	35	8.17757	4	2.58065	39	6.68954
FAM47C	31	7.24299	8	5.16129	39	6.68954
HERC1	34	7.94393	5	3.22581	39	6.68954
KALRN	32	7.47664	7	4.51613	39	6.68954
MINAR1	34	7.94393	5	3.22581	39	6.68954
MYO16	35	8.17757	4	2.58065	39	6.68954
NAV2	35	8.17757	4	2.58065	39	6.68954
NRXN2	33	7.71028	6	3.87097	39	6.68954
PREX2	32	7.47664	7	4.51613	39	6.68954
PTPRZ1	30	7.00935	9	5.80645	39	6.68954
RIF1	34	7.94393	5	3.22581	39	6.68954
RP1L1	35	8.17757	4	2.58065	39	6.68954
SVEP1	31	7.24299	8	5.16129	39	6.68954
UBR4	35	8.17757	4	2.58065	39	6.68954
UBR5	34	7.94393	5	3.22581	39	6.68954
UTRN	30	7.00935	9	5.80645	39	6.68954
ABCA4	33	7.71028	5	3.22581	38	6.51801
CARD11	29	6.7757	9	5.80645	38	6.51801
CENPF	30	7.00935	8	5.16129	38	6.51801
CNTNAP2	31	7.24299	7	4.51613	38	6.51801
CUX2	33	7.71028	5	3.22581	38	6.51801
DLC1	31	7.24299	7	4.51613	38	6.51801
DMXL1	29	6.7757	9	5.80645	38	6.51801
DMXL2	31	7.24299	7	4.51613	38	6.51801
EVC2	34	7.94393	4	2.58065	38	6.51801
GALNT17	32	7.47664	6	3.87097	38	6.51801
GPR158	29	6.7757	9	5.80645	38	6.51801
KANSL1	34	7.94393	4	2.58065	38	6.51801
KIF21A	32	7.47664	6	3.87097	38	6.51801
LPA	30	7.00935	8	5.16129	38	6.51801
MAP1A	32	7.47664	6	3.87097	38	6.51801
MGA	30	7.00935	8	5.16129	38	6.51801
MYH2	31	7.24299	7	4.51613	38	6.51801
MYH9	35	8.17757	3	1.93548	38	6.51801
PTPRC	28	6.54206	10	6.45161	38	6.51801
SALL1	29	6.7757	9	5.80645	38	6.51801
SPHKAP	30	7.00935	8	5.16129	38	6.51801
TRPC4	29	6.7757	9	5.80645	38	6.51801
USP9X	32	7.47664	6	3.87097	38	6.51801
ADGRB3	29	6.7757	8	5.16129	37	6.34648
AFF2	31	7.24299	6	3.87097	37	6.34648
ARFGEF1	32	7.47664	5	3.22581	37	6.34648
BCORL1	34	7.94393	3	1.93548	37	6.34648
CEP290	29	6.7757	8	5.16129	37	6.34648
CHD9	30	7.00935	7	4.51613	37	6.34648
DLG2	30	7.00935	7	4.51613	37	6.34648
EPG5	31	7.24299	6	3.87097	37	6.34648
ERICH3	32	7.47664	5	3.22581	37	6.34648
FAM135B	29	6.7757	8	5.16129	37	6.34648
FLNA	33	7.71028	4	2.58065	37	6.34648
ITPR1	31	7.24299	6	3.87097	37	6.34648
ITPR3	35	8.17757	2	1.29032	37	6.34648
KCNA4	29	6.7757	8	5.16129	37	6.34648
MED12	30	7.00935	7	4.51613	37	6.34648
PCDH18	30	7.00935	7	4.51613	37	6.34648
PLXND1	30	7.00935	7	4.51613	37	6.34648
PRDM9	32	7.47664	5	3.22581	37	6.34648
REV3L	32	7.47664	5	3.22581	37	6.34648
SCN2A	31	7.24299	6	3.87097	37	6.34648
SCN4A	30	7.00935	7	4.51613	37	6.34648
SDK2	35	8.17757	2	1.29032	37	6.34648
SORCS1	26	6.07477	11	7.09677	37	6.34648
SPTB	31	7.24299	6	3.87097	37	6.34648
TNRC6B	31	7.24299	6	3.87097	37	6.34648
TRIOBP	33	7.71028	4	2.58065	37	6.34648
ZBTB20	35	8.17757	2	1.29032	37	6.34648
ZNF423	33	7.71028	4	2.58065	37	6.34648
ACACA	30	7.00935	6	3.87097	36	6.17496
ACAN	29	6.7757	7	4.51613	36	6.17496
ADAMTSL3	30	7.00935	6	3.87097	36	6.17496
ADCY8	31	7.24299	5	3.22581	36	6.17496
ANK1	27	6.30841	9	5.80645	36	6.17496
ARAP2	32	7.47664	4	2.58065	36	6.17496
ARID2	30	7.00935	6	3.87097	36	6.17496
BOD1L1	26	6.07477	10	6.45161	36	6.17496
CPAMD8	30	7.00935	6	3.87097	36	6.17496
DCAF4L2	31	7.24299	5	3.22581	36	6.17496
FHOD3	32	7.47664	4	2.58065	36	6.17496
GCN1	32	7.47664	4	2.58065	36	6.17496
GOLGB1	32	7.47664	4	2.58065	36	6.17496
GPR179	30	7.00935	6	3.87097	36	6.17496
IGSF10	29	6.7757	7	4.51613	36	6.17496
LAMA3	32	7.47664	4	2.58065	36	6.17496
NRAS	21	4.90654	15	9.67742	36	6.17496
NUP205	32	7.47664	4	2.58065	36	6.17496
PCDH19	26	6.07477	10	6.45161	36	6.17496
PCDHA13	26	6.07477	10	6.45161	36	6.17496
PCDHA8	31	7.24299	5	3.22581	36	6.17496
PCNT	34	7.94393	2	1.29032	36	6.17496
RIMBP2	30	7.00935	6	3.87097	36	6.17496
STAB1	32	7.47664	4	2.58065	36	6.17496
TRIP12	30	7.00935	6	3.87097	36	6.17496
YLPM1	30	7.00935	6	3.87097	36	6.17496
ZC3H13	29	6.7757	7	4.51613	36	6.17496
ASTN1	25	5.84112	10	6.45161	35	6.00343
BCOR	32	7.47664	3	1.93548	35	6.00343
CACNA1C	30	7.00935	5	3.22581	35	6.00343
CDH8	26	6.07477	9	5.80645	35	6.00343
CEP170	27	6.30841	8	5.16129	35	6.00343
CNTNAP4	32	7.47664	3	1.93548	35	6.00343
COL5A2	27	6.30841	8	5.16129	35	6.00343
CTNNB1	29	6.7757	6	3.87097	35	6.00343
CUL9	29	6.7757	6	3.87097	35	6.00343
DAPK1	31	7.24299	4	2.58065	35	6.00343
DIDO1	31	7.24299	4	2.58065	35	6.00343
DISP3	30	7.00935	5	3.22581	35	6.00343
DOCK5	29	6.7757	6	3.87097	35	6.00343
EPHA3	31	7.24299	4	2.58065	35	6.00343
GRIA2	27	6.30841	8	5.16129	35	6.00343
GRM7	26	6.07477	9	5.80645	35	6.00343
GTF3C1	30	7.00935	5	3.22581	35	6.00343
HDAC9	26	6.07477	9	5.80645	35	6.00343
KCNH7	28	6.54206	7	4.51613	35	6.00343
LYST	30	7.00935	5	3.22581	35	6.00343
MED12L	28	6.54206	7	4.51613	35	6.00343
MYH14	33	7.71028	2	1.29032	35	6.00343
MYH7	30	7.00935	5	3.22581	35	6.00343
MYH8	30	7.00935	5	3.22581	35	6.00343
MYO5A	30	7.00935	5	3.22581	35	6.00343
NF1	26	6.07477	9	5.80645	35	6.00343
NLRP7	28	6.54206	7	4.51613	35	6.00343
PKD1	32	7.47664	3	1.93548	35	6.00343
PKD1L1	28	6.54206	7	4.51613	35	6.00343
PKDREJ	29	6.7757	6	3.87097	35	6.00343
PLCG2	28	6.54206	7	4.51613	35	6.00343
POLE	29	6.7757	6	3.87097	35	6.00343
POLQ	28	6.54206	7	4.51613	35	6.00343
PRUNE2	30	7.00935	5	3.22581	35	6.00343
PTEN	27	6.30841	8	5.16129	35	6.00343
PTPN13	27	6.30841	8	5.16129	35	6.00343
SPEN	32	7.47664	3	1.93548	35	6.00343
TCERG1	31	7.24299	4	2.58065	35	6.00343
TENM4	27	6.30841	8	5.16129	35	6.00343
THSD7A	29	6.7757	6	3.87097	35	6.00343
TRPM3	28	6.54206	7	4.51613	35	6.00343
ACACB	31	7.24299	3	1.93548	34	5.8319
ADAMTS12	27	6.30841	7	4.51613	34	5.8319
ADAMTS18	24	5.60748	10	6.45161	34	5.8319
CACNA1F	28	6.54206	6	3.87097	34	5.8319
CADPS	28	6.54206	6	3.87097	34	5.8319
CDK12	29	6.7757	5	3.22581	34	5.8319
CELSR2	29	6.7757	5	3.22581	34	5.8319
COL14A1	29	6.7757	5	3.22581	34	5.8319
COL1A2	28	6.54206	6	3.87097	34	5.8319
COL4A1	30	7.00935	4	2.58065	34	5.8319
DOCK8	29	6.7757	5	3.22581	34	5.8319
GREB1	28	6.54206	6	3.87097	34	5.8319
HRNR	27	6.30841	7	4.51613	34	5.8319
ITPR2	28	6.54206	6	3.87097	34	5.8319
MGAM	29	6.7757	5	3.22581	34	5.8319
MIDEAS	31	7.24299	3	1.93548	34	5.8319
MPDZ	27	6.30841	7	4.51613	34	5.8319
MYH6	28	6.54206	6	3.87097	34	5.8319
NCOR2	31	7.24299	3	1.93548	34	5.8319
NEXMIF	27	6.30841	7	4.51613	34	5.8319
NLRC5	33	7.71028	1	0.645161	34	5.8319
NOTCH3	29	6.7757	5	3.22581	34	5.8319
NPAP1	28	6.54206	6	3.87097	34	5.8319
NYAP2	25	5.84112	9	5.80645	34	5.8319
PCDHB7	28	6.54206	6	3.87097	34	5.8319
PLXNA1	30	7.00935	4	2.58065	34	5.8319
PTPRM	24	5.60748	10	6.45161	34	5.8319
RANBP2	28	6.54206	6	3.87097	34	5.8319
SFMBT2	30	7.00935	4	2.58065	34	5.8319
SHPRH	27	6.30841	7	4.51613	34	5.8319
SLITRK5	20	4.6729	14	9.03226	34	5.8319
TCHH	29	6.7757	5	3.22581	34	5.8319
TET1	26	6.07477	8	5.16129	34	5.8319
TRPM6	26	6.07477	8	5.16129	34	5.8319
UGGT2	27	6.30841	7	4.51613	34	5.8319
