Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
TBX10	6	1.40187	1	0.645161	7	1.20069
TC2N	7	1.63551	0	0	7	1.20069
TCEA1	6	1.40187	1	0.645161	7	1.20069
TCEAL4	6	1.40187	1	0.645161	7	1.20069
TCEAL6	6	1.40187	1	0.645161	7	1.20069
TCF25	7	1.63551	0	0	7	1.20069
TCP1	6	1.40187	1	0.645161	7	1.20069
TCTE1	5	1.16822	2	1.29032	7	1.20069
TCTN1	6	1.40187	1	0.645161	7	1.20069
TDRD10	6	1.40187	1	0.645161	7	1.20069
TEAD1	7	1.63551	0	0	7	1.20069
TEAD4	6	1.40187	1	0.645161	7	1.20069
TENT5B	6	1.40187	1	0.645161	7	1.20069
TEPP	5	1.16822	2	1.29032	7	1.20069
TERF1	4	0.934579	3	1.93548	7	1.20069
TERF2	3	0.700935	4	2.58065	7	1.20069
TERT	6	1.40187	1	0.645161	7	1.20069
TESMIN	6	1.40187	1	0.645161	7	1.20069
TEX30	6	1.40187	1	0.645161	7	1.20069
TEX9	5	1.16822	2	1.29032	7	1.20069
TFAP2A	7	1.63551	0	0	7	1.20069
TFCP2	5	1.16822	2	1.29032	7	1.20069
TGFB1I1	7	1.63551	0	0	7	1.20069
TH	6	1.40187	1	0.645161	7	1.20069
THBD	6	1.40187	1	0.645161	7	1.20069
THEG	7	1.63551	0	0	7	1.20069
TIGD4	6	1.40187	1	0.645161	7	1.20069
TIGIT	5	1.16822	2	1.29032	7	1.20069
TIMM50	6	1.40187	1	0.645161	7	1.20069
TIPARP	5	1.16822	2	1.29032	7	1.20069
TM4SF19	6	1.40187	1	0.645161	7	1.20069
TM9SF4	4	0.934579	3	1.93548	7	1.20069
TMCO4	5	1.16822	2	1.29032	7	1.20069
TMEM100	4	0.934579	3	1.93548	7	1.20069
TMEM119	6	1.40187	1	0.645161	7	1.20069
TMEM147	6	1.40187	1	0.645161	7	1.20069
TMEM156	5	1.16822	2	1.29032	7	1.20069
TMEM164	5	1.16822	2	1.29032	7	1.20069
TMEM184A	7	1.63551	0	0	7	1.20069
TMEM184C	5	1.16822	2	1.29032	7	1.20069
TMEM30A	6	1.40187	1	0.645161	7	1.20069
TMEM59L	6	1.40187	1	0.645161	7	1.20069
TMEM74B	5	1.16822	2	1.29032	7	1.20069
TMIGD1	6	1.40187	1	0.645161	7	1.20069
TMPRSS11F	5	1.16822	2	1.29032	7	1.20069
TNFAIP6	3	0.700935	4	2.58065	7	1.20069
TNFRSF10B	5	1.16822	2	1.29032	7	1.20069
TNFRSF13B	5	1.16822	2	1.29032	7	1.20069
TNFRSF1A	5	1.16822	2	1.29032	7	1.20069
TNFRSF9	6	1.40187	1	0.645161	7	1.20069
TNFSF14	5	1.16822	2	1.29032	7	1.20069
TOM1L2	6	1.40187	1	0.645161	7	1.20069
TOX2	6	1.40187	1	0.645161	7	1.20069
TPBG	7	1.63551	0	0	7	1.20069
TRA2B	3	0.700935	4	2.58065	7	1.20069
TRIM10	5	1.16822	2	1.29032	7	1.20069
TRIM13	5	1.16822	2	1.29032	7	1.20069
TRIM26	7	1.63551	0	0	7	1.20069
TRIM36	6	1.40187	1	0.645161	7	1.20069
TRIM48	5	1.16822	2	1.29032	7	1.20069
TRIM52	6	1.40187	1	0.645161	7	1.20069
TRIM68	6	1.40187	1	0.645161	7	1.20069
TRIM72	6	1.40187	1	0.645161	7	1.20069
TRIM75P	5	1.16822	2	1.29032	7	1.20069
TRMT1	7	1.63551	0	0	7	1.20069
TRMT10C	5	1.16822	2	1.29032	7	1.20069
TRUB2	7	1.63551	0	0	7	1.20069
TSPAN2	6	1.40187	1	0.645161	7	1.20069
TSSK2	6	1.40187	1	0.645161	7	1.20069
TTC24	6	1.40187	1	0.645161	7	1.20069
TTC26	4	0.934579	3	1.93548	7	1.20069
TTC31	6	1.40187	1	0.645161	7	1.20069
TTC39B	4	0.934579	3	1.93548	7	1.20069
TUBA1A	6	1.40187	1	0.645161	7	1.20069
TUBB2B	6	1.40187	1	0.645161	7	1.20069
TULP2	6	1.40187	1	0.645161	7	1.20069
TWF1	5	1.16822	2	1.29032	7	1.20069
TXLNG	6	1.40187	1	0.645161	7	1.20069
TXNIP	5	1.16822	2	1.29032	7	1.20069
TYRP1	5	1.16822	2	1.29032	7	1.20069
TYW3	4	0.934579	3	1.93548	7	1.20069
U2AF2	5	1.16822	2	1.29032	7	1.20069
UBAC1	5	1.16822	2	1.29032	7	1.20069
UBE2A	4	0.934579	3	1.93548	7	1.20069
UBE2K	5	1.16822	2	1.29032	7	1.20069
UBE2U	7	1.63551	0	0	7	1.20069
UBE3D	7	1.63551	0	0	7	1.20069
UBLCP1	6	1.40187	1	0.645161	7	1.20069
UBXN11	5	1.16822	2	1.29032	7	1.20069
UCP1	7	1.63551	0	0	7	1.20069
UEVLD	5	1.16822	2	1.29032	7	1.20069
UGT1A8	5	1.16822	2	1.29032	7	1.20069
UGT2B17	4	0.934579	3	1.93548	7	1.20069
ULBP1	6	1.40187	1	0.645161	7	1.20069
ULBP3	6	1.40187	1	0.645161	7	1.20069
UNC93A	7	1.63551	0	0	7	1.20069
UPF3B	4	0.934579	3	1.93548	7	1.20069
UPRT	7	1.63551	0	0	7	1.20069
UQCC1	6	1.40187	1	0.645161	7	1.20069
UQCRC1	5	1.16822	2	1.29032	7	1.20069
USP37	5	1.16822	2	1.29032	7	1.20069
USP46	6	1.40187	1	0.645161	7	1.20069
USP51	4	0.934579	3	1.93548	7	1.20069
VARS2	7	1.63551	0	0	7	1.20069
VASH1	7	1.63551	0	0	7	1.20069
VASP	7	1.63551	0	0	7	1.20069
VAX2	5	1.16822	2	1.29032	7	1.20069
VEGFB	7	1.63551	0	0	7	1.20069
VEGFD	5	1.16822	2	1.29032	7	1.20069
VENTX	4	0.934579	3	1.93548	7	1.20069
VIPAS39	5	1.16822	2	1.29032	7	1.20069
VPS11	7	1.63551	0	0	7	1.20069
VPS36	6	1.40187	1	0.645161	7	1.20069
VPS51	6	1.40187	1	0.645161	7	1.20069
VPS72	7	1.63551	0	0	7	1.20069
VPS9D1	6	1.40187	1	0.645161	7	1.20069
VSIG1	4	0.934579	3	1.93548	7	1.20069
WDR45B	6	1.40187	1	0.645161	7	1.20069
WDR88	6	1.40187	1	0.645161	7	1.20069
WIF1	7	1.63551	0	0	7	1.20069
WLS	5	1.16822	2	1.29032	7	1.20069
WNT2B	6	1.40187	1	0.645161	7	1.20069
WNT4	6	1.40187	1	0.645161	7	1.20069
WRAP73	7	1.63551	0	0	7	1.20069
XKR9	4	0.934579	3	1.93548	7	1.20069
XKRX	4	0.934579	3	1.93548	7	1.20069
XPC	5	1.16822	2	1.29032	7	1.20069
XYLB	5	1.16822	2	1.29032	7	1.20069
YBX2	6	1.40187	1	0.645161	7	1.20069
ZBTB1	5	1.16822	2	1.29032	7	1.20069
ZBTB14	7	1.63551	0	0	7	1.20069
ZBTB39	7	1.63551	0	0	7	1.20069
ZBTB44	4	0.934579	3	1.93548	7	1.20069
ZC4H2	6	1.40187	1	0.645161	7	1.20069
ZDHHC11	7	1.63551	0	0	7	1.20069
ZDHHC20	6	1.40187	1	0.645161	7	1.20069
ZFYVE27	7	1.63551	0	0	7	1.20069
ZKSCAN4	6	1.40187	1	0.645161	7	1.20069
ZNF155	6	1.40187	1	0.645161	7	1.20069
ZNF165	5	1.16822	2	1.29032	7	1.20069
ZNF169	4	0.934579	3	1.93548	7	1.20069
ZNF230	6	1.40187	1	0.645161	7	1.20069
ZNF25	6	1.40187	1	0.645161	7	1.20069
ZNF263	3	0.700935	4	2.58065	7	1.20069
ZNF324	6	1.40187	1	0.645161	7	1.20069
ZNF341	7	1.63551	0	0	7	1.20069
ZNF346	6	1.40187	1	0.645161	7	1.20069
ZNF358	6	1.40187	1	0.645161	7	1.20069
ZNF367	7	1.63551	0	0	7	1.20069
ZNF436	7	1.63551	0	0	7	1.20069
ZNF441	5	1.16822	2	1.29032	7	1.20069
ZNF469	5	1.16822	2	1.29032	7	1.20069
ZNF488	4	0.934579	3	1.93548	7	1.20069
ZNF527	6	1.40187	1	0.645161	7	1.20069
ZNF550	5	1.16822	2	1.29032	7	1.20069
ZNF555	5	1.16822	2	1.29032	7	1.20069
ZNF566	6	1.40187	1	0.645161	7	1.20069
ZNF582	4	0.934579	3	1.93548	7	1.20069
ZNF596	6	1.40187	1	0.645161	7	1.20069
ZNF598	7	1.63551	0	0	7	1.20069
ZNF670	6	1.40187	1	0.645161	7	1.20069
ZNF70	6	1.40187	1	0.645161	7	1.20069
ZNF710	5	1.16822	2	1.29032	7	1.20069
ZNF711	6	1.40187	1	0.645161	7	1.20069
ZNF713	6	1.40187	1	0.645161	7	1.20069
ZNF781	4	0.934579	3	1.93548	7	1.20069
ZNF8	6	1.40187	1	0.645161	7	1.20069
ZNF880	5	1.16822	2	1.29032	7	1.20069
ZNF883	6	1.40187	1	0.645161	7	1.20069
ZWILCH	6	1.40187	1	0.645161	7	1.20069
ZXDC	5	1.16822	2	1.29032	7	1.20069
A1CF	6	1.40187	0	0	6	1.02916
AASDHPPT	4	0.934579	2	1.29032	6	1.02916
ABCF2	3	0.700935	3	1.93548	6	1.02916
ABHD12	5	1.16822	1	0.645161	6	1.02916
ABI2	4	0.934579	2	1.29032	6	1.02916
ABO	6	1.40187	0	0	6	1.02916
ABRA	4	0.934579	2	1.29032	6	1.02916
AC004593.2	4	0.934579	2	1.29032	6	1.02916
AC100868.1	6	1.40187	0	0	6	1.02916
AC134980.2	3	0.700935	3	1.93548	6	1.02916
ACAD10	5	1.16822	1	0.645161	6	1.02916
ACAT1	6	1.40187	0	0	6	1.02916
ACAT2	5	1.16822	1	0.645161	6	1.02916
ACKR1	6	1.40187	0	0	6	1.02916
ACOT11	5	1.16822	1	0.645161	6	1.02916
ACOX2	5	1.16822	1	0.645161	6	1.02916
ACP1	6	1.40187	0	0	6	1.02916
ACP3	4	0.934579	2	1.29032	6	1.02916
ACP4	5	1.16822	1	0.645161	6	1.02916
ACR	5	1.16822	1	0.645161	6	1.02916
ACRV1	4	0.934579	2	1.29032	6	1.02916
ACSS1	6	1.40187	0	0	6	1.02916
ACTN3	6	1.40187	0	0	6	1.02916
ACTR10	4	0.934579	2	1.29032	6	1.02916
ACTR3	4	0.934579	2	1.29032	6	1.02916
ADA	6	1.40187	0	0	6	1.02916
ADAL	5	1.16822	1	0.645161	6	1.02916
ADAMTSL5	6	1.40187	0	0	6	1.02916
ADAP2	6	1.40187	0	0	6	1.02916
ADGB	5	1.16822	1	0.645161	6	1.02916
ADGRG1	5	1.16822	1	0.645161	6	1.02916
ADH1A	5	1.16822	1	0.645161	6	1.02916
ADH6	5	1.16822	1	0.645161	6	1.02916
ADK	6	1.40187	0	0	6	1.02916
ADPRHL1	4	0.934579	2	1.29032	6	1.02916
ADRA1B	5	1.16822	1	0.645161	6	1.02916
ADRB1	4	0.934579	2	1.29032	6	1.02916
ADSS2	4	0.934579	2	1.29032	6	1.02916
AFG1L	6	1.40187	0	0	6	1.02916
AGER	5	1.16822	1	0.645161	6	1.02916
AGFG2	5	1.16822	1	0.645161	6	1.02916
AGK	4	0.934579	2	1.29032	6	1.02916
AGPAT3	5	1.16822	1	0.645161	6	1.02916
AGXT	6	1.40187	0	0	6	1.02916
AIMP2	5	1.16822	1	0.645161	6	1.02916
AKAP10	4	0.934579	2	1.29032	6	1.02916
AKAP5	5	1.16822	1	0.645161	6	1.02916
AKIRIN2	4	0.934579	2	1.29032	6	1.02916
AKR1B10	6	1.40187	0	0	6	1.02916
AKR1C1	5	1.16822	1	0.645161	6	1.02916
AKR1C8P	3	0.700935	3	1.93548	6	1.02916
AKR1D1	4	0.934579	2	1.29032	6	1.02916
AKT1S1	6	1.40187	0	0	6	1.02916
ALDH3A2	5	1.16822	1	0.645161	6	1.02916
ALDH7A1	4	0.934579	2	1.29032	6	1.02916
ALDH9A1	6	1.40187	0	0	6	1.02916
ALPG	4	0.934579	2	1.29032	6	1.02916
AMBP	5	1.16822	1	0.645161	6	1.02916
AMD1	3	0.700935	3	1.93548	6	1.02916
AMDHD1	6	1.40187	0	0	6	1.02916
AMMECR1	6	1.40187	0	0	6	1.02916
ANGPTL7	6	1.40187	0	0	6	1.02916
ANKRD10	6	1.40187	0	0	6	1.02916
ANKRD13B	6	1.40187	0	0	6	1.02916
ANKRD13C	5	1.16822	1	0.645161	6	1.02916
ANKRD34B	4	0.934579	2	1.29032	6	1.02916
ANKRD40	6	1.40187	0	0	6	1.02916
ANXA10	5	1.16822	1	0.645161	6	1.02916
ANXA4	6	1.40187	0	0	6	1.02916
ANXA9	5	1.16822	1	0.645161	6	1.02916
AP4M1	6	1.40187	0	0	6	1.02916
APEX2	4	0.934579	2	1.29032	6	1.02916
APOBEC3B	6	1.40187	0	0	6	1.02916
APOBEC3C	5	1.16822	1	0.645161	6	1.02916
APOL3	5	1.16822	1	0.645161	6	1.02916
APOL5	6	1.40187	0	0	6	1.02916
APPBP2	6	1.40187	0	0	6	1.02916
APTX	5	1.16822	1	0.645161	6	1.02916
AQP10	5	1.16822	1	0.645161	6	1.02916
AQP4	5	1.16822	1	0.645161	6	1.02916
ARCN1	5	1.16822	1	0.645161	6	1.02916
AREL1	5	1.16822	1	0.645161	6	1.02916
ARF4	4	0.934579	2	1.29032	6	1.02916
ARFGAP1	5	1.16822	1	0.645161	6	1.02916
ARG2	5	1.16822	1	0.645161	6	1.02916
ARHGEF33	4	0.934579	2	1.29032	6	1.02916
ARID3B	5	1.16822	1	0.645161	6	1.02916
ARIH2	4	0.934579	2	1.29032	6	1.02916
ARL13A	4	0.934579	2	1.29032	6	1.02916
ARL6IP6	5	1.16822	1	0.645161	6	1.02916
ARL8B	6	1.40187	0	0	6	1.02916
ARMCX3	4	0.934579	2	1.29032	6	1.02916
ARMCX5-GPRASP2	4	0.934579	2	1.29032	6	1.02916
ARNT	5	1.16822	1	0.645161	6	1.02916
ARRB1	5	1.16822	1	0.645161	6	1.02916
ARSK	5	1.16822	1	0.645161	6	1.02916
ART4	2	0.46729	4	2.58065	6	1.02916
ARVCF	6	1.40187	0	0	6	1.02916
ASB13	5	1.16822	1	0.645161	6	1.02916
ASB16	5	1.16822	1	0.645161	6	1.02916
ASB4	4	0.934579	2	1.29032	6	1.02916
ASCL4	5	1.16822	1	0.645161	6	1.02916
ASPA	5	1.16822	1	0.645161	6	1.02916
ASPHD1	5	1.16822	1	0.645161	6	1.02916
ASS1	5	1.16822	1	0.645161	6	1.02916
ATAD3B	3	0.700935	3	1.93548	6	1.02916
ATF2	5	1.16822	1	0.645161	6	1.02916
ATG101	5	1.16822	1	0.645161	6	1.02916
ATG13	4	0.934579	2	1.29032	6	1.02916
ATG4A	4	0.934579	2	1.29032	6	1.02916
ATG4B	6	1.40187	0	0	6	1.02916
ATG7	4	0.934579	2	1.29032	6	1.02916
ATP6V1C1	5	1.16822	1	0.645161	6	1.02916
ATP6V1E2	5	1.16822	1	0.645161	6	1.02916
AURKB	5	1.16822	1	0.645161	6	1.02916
AVIL	5	1.16822	1	0.645161	6	1.02916
AVL9	3	0.700935	3	1.93548	6	1.02916
AVPI1	6	1.40187	0	0	6	1.02916
B3GALT1	5	1.16822	1	0.645161	6	1.02916
B3GALT5	5	1.16822	1	0.645161	6	1.02916
B3GNT4	5	1.16822	1	0.645161	6	1.02916
B4GALNT3	5	1.16822	1	0.645161	6	1.02916
B4GALT2	5	1.16822	1	0.645161	6	1.02916
BAAT	5	1.16822	1	0.645161	6	1.02916
BAG4	5	1.16822	1	0.645161	6	1.02916
BAMBI	4	0.934579	2	1.29032	6	1.02916
BATF3	5	1.16822	1	0.645161	6	1.02916
BAX	6	1.40187	0	0	6	1.02916
BBOF1	4	0.934579	2	1.29032	6	1.02916
BBS4	5	1.16822	1	0.645161	6	1.02916
BCL2L13	5	1.16822	1	0.645161	6	1.02916
BDKRB1	5	1.16822	1	0.645161	6	1.02916
BDNF	4	0.934579	2	1.29032	6	1.02916
BEX1	5	1.16822	1	0.645161	6	1.02916
BIN2	5	1.16822	1	0.645161	6	1.02916
BLOC1S2	4	0.934579	2	1.29032	6	1.02916
BMF	6	1.40187	0	0	6	1.02916
BMP15	5	1.16822	1	0.645161	6	1.02916
BMX	5	1.16822	1	0.645161	6	1.02916
BPNT1	6	1.40187	0	0	6	1.02916
BRMS1L	5	1.16822	1	0.645161	6	1.02916
BSCL2	6	1.40187	0	0	6	1.02916
BSG	6	1.40187	0	0	6	1.02916
BSND	5	1.16822	1	0.645161	6	1.02916
BTBD9	6	1.40187	0	0	6	1.02916
C11orf49	4	0.934579	2	1.29032	6	1.02916
C11orf53	6	1.40187	0	0	6	1.02916
C12orf29	5	1.16822	1	0.645161	6	1.02916
C16orf46	5	1.16822	1	0.645161	6	1.02916
C16orf70	5	1.16822	1	0.645161	6	1.02916
C16orf71	4	0.934579	2	1.29032	6	1.02916
C16orf72	6	1.40187	0	0	6	1.02916
C17orf75	5	1.16822	1	0.645161	6	1.02916
C17orf78	6	1.40187	0	0	6	1.02916
C17orf80	4	0.934579	2	1.29032	6	1.02916
C19orf57	6	1.40187	0	0	6	1.02916
C1D	5	1.16822	1	0.645161	6	1.02916
C1QTNF1	6	1.40187	0	0	6	1.02916
C1orf116	5	1.16822	1	0.645161	6	1.02916
C1orf74	4	0.934579	2	1.29032	6	1.02916
C2orf15	4	0.934579	2	1.29032	6	1.02916
C2orf73	5	1.16822	1	0.645161	6	1.02916
C5AR2	5	1.16822	1	0.645161	6	1.02916
C6orf58	6	1.40187	0	0	6	1.02916
C7orf25	6	1.40187	0	0	6	1.02916
C7orf57	5	1.16822	1	0.645161	6	1.02916
C9orf135	5	1.16822	1	0.645161	6	1.02916
CA10	3	0.700935	3	1.93548	6	1.02916
CA13	5	1.16822	1	0.645161	6	1.02916
CA7	6	1.40187	0	0	6	1.02916
CABLES1	6	1.40187	0	0	6	1.02916
CABP5	5	1.16822	1	0.645161	6	1.02916
CACNB3	5	1.16822	1	0.645161	6	1.02916
CACNG6	5	1.16822	1	0.645161	6	1.02916
CALB2	5	1.16822	1	0.645161	6	1.02916
CAMKK1	4	0.934579	2	1.29032	6	1.02916
CAP2	5	1.16822	1	0.645161	6	1.02916
CAPZA2	5	1.16822	1	0.645161	6	1.02916
CARM1	6	1.40187	0	0	6	1.02916
CASP14	3	0.700935	3	1.93548	6	1.02916
CASP2	6	1.40187	0	0	6	1.02916
CASQ1	5	1.16822	1	0.645161	6	1.02916
CATIP	4	0.934579	2	1.29032	6	1.02916
CAV3	6	1.40187	0	0	6	1.02916
CBX4	6	1.40187	0	0	6	1.02916
CCDC106	4	0.934579	2	1.29032	6	1.02916
CCDC124	5	1.16822	1	0.645161	6	1.02916
CCDC130	5	1.16822	1	0.645161	6	1.02916
CCDC183	4	0.934579	2	1.29032	6	1.02916
CCDC24	6	1.40187	0	0	6	1.02916
CCDC33	5	1.16822	1	0.645161	6	1.02916
CCDC61	6	1.40187	0	0	6	1.02916
CCDC63	5	1.16822	1	0.645161	6	1.02916
CCDC65	4	0.934579	2	1.29032	6	1.02916
CCDC71	5	1.16822	1	0.645161	6	1.02916
CCDC83	3	0.700935	3	1.93548	6	1.02916
CCDC91	5	1.16822	1	0.645161	6	1.02916
CCN3	5	1.16822	1	0.645161	6	1.02916
CCNDBP1	4	0.934579	2	1.29032	6	1.02916
CCNE2	3	0.700935	3	1.93548	6	1.02916
CCNJL	5	1.16822	1	0.645161	6	1.02916
CCNQ	6	1.40187	0	0	6	1.02916
CCR4	4	0.934579	2	1.29032	6	1.02916
CCR9	3	0.700935	3	1.93548	6	1.02916
CCS	6	1.40187	0	0	6	1.02916
CD177	4	0.934579	2	1.29032	6	1.02916
CD1B	5	1.16822	1	0.645161	6	1.02916
CD1D	4	0.934579	2	1.29032	6	1.02916
CD200	4	0.934579	2	1.29032	6	1.02916
CD33	4	0.934579	2	1.29032	6	1.02916
CD37	6	1.40187	0	0	6	1.02916
CD44	4	0.934579	2	1.29032	6	1.02916
CD53	3	0.700935	3	1.93548	6	1.02916
CD6	5	1.16822	1	0.645161	6	1.02916
CD63	6	1.40187	0	0	6	1.02916
CD69	3	0.700935	3	1.93548	6	1.02916
CD72	5	1.16822	1	0.645161	6	1.02916
CDC42EP4	5	1.16822	1	0.645161	6	1.02916
CDCP1	6	1.40187	0	0	6	1.02916
CDH15	4	0.934579	2	1.29032	6	1.02916
CDH3	6	1.40187	0	0	6	1.02916
CDK11A	5	1.16822	1	0.645161	6	1.02916
CDK2	5	1.16822	1	0.645161	6	1.02916
CDK3	5	1.16822	1	0.645161	6	1.02916
CDK5R1	6	1.40187	0	0	6	1.02916
CEACAM20	5	1.16822	1	0.645161	6	1.02916
CEACAM3	3	0.700935	3	1.93548	6	1.02916
CENPK	5	1.16822	1	0.645161	6	1.02916
CENPO	3	0.700935	3	1.93548	6	1.02916
CEPT1	5	1.16822	1	0.645161	6	1.02916
CFAP36	3	0.700935	3	1.93548	6	1.02916
CFDP1	3	0.700935	3	1.93548	6	1.02916
CFHR3	5	1.16822	1	0.645161	6	1.02916
CGB1	5	1.16822	1	0.645161	6	1.02916
CHMP1A	6	1.40187	0	0	6	1.02916
CHORDC1	5	1.16822	1	0.645161	6	1.02916
CHST12	6	1.40187	0	0	6	1.02916
CHST13	5	1.16822	1	0.645161	6	1.02916
CIART	6	1.40187	0	0	6	1.02916
CLDN17	5	1.16822	1	0.645161	6	1.02916
CLDND1	5	1.16822	1	0.645161	6	1.02916
CLEC10A	6	1.40187	0	0	6	1.02916
CLEC12A	5	1.16822	1	0.645161	6	1.02916
CLEC7A	3	0.700935	3	1.93548	6	1.02916
CLHC1	4	0.934579	2	1.29032	6	1.02916
CLNS1A	5	1.16822	1	0.645161	6	1.02916
CLPP	6	1.40187	0	0	6	1.02916
CLTA	5	1.16822	1	0.645161	6	1.02916
CLVS1	5	1.16822	1	0.645161	6	1.02916
CNIH1	6	1.40187	0	0	6	1.02916
CNNM4	5	1.16822	1	0.645161	6	1.02916
CNTD1	6	1.40187	0	0	6	1.02916
COL26A1	6	1.40187	0	0	6	1.02916
CORO1A	6	1.40187	0	0	6	1.02916
CPA6	4	0.934579	2	1.29032	6	1.02916
CPOX	5	1.16822	1	0.645161	6	1.02916
CPSF3	3	0.700935	3	1.93548	6	1.02916
CRADD	3	0.700935	3	1.93548	6	1.02916
CREB3L4	5	1.16822	1	0.645161	6	1.02916
CRKL	5	1.16822	1	0.645161	6	1.02916
CRYL1	5	1.16822	1	0.645161	6	1.02916
CRYM	5	1.16822	1	0.645161	6	1.02916
CSNK1G1	4	0.934579	2	1.29032	6	1.02916
CSRNP2	5	1.16822	1	0.645161	6	1.02916
CSTF1	6	1.40187	0	0	6	1.02916
CTSA	6	1.40187	0	0	6	1.02916
CTSB	5	1.16822	1	0.645161	6	1.02916
CTSO	4	0.934579	2	1.29032	6	1.02916
CTTNBP2NL	5	1.16822	1	0.645161	6	1.02916
CUEDC1	5	1.16822	1	0.645161	6	1.02916
CUL4A	5	1.16822	1	0.645161	6	1.02916
CUTC	6	1.40187	0	0	6	1.02916
CYB5R2	5	1.16822	1	0.645161	6	1.02916
CYP2S1	6	1.40187	0	0	6	1.02916
CYP2U1	4	0.934579	2	1.29032	6	1.02916
CYP3A5	6	1.40187	0	0	6	1.02916
CYREN	6	1.40187	0	0	6	1.02916
CYRIA	6	1.40187	0	0	6	1.02916
CYRIB	4	0.934579	2	1.29032	6	1.02916
CYTH1	4	0.934579	2	1.29032	6	1.02916
CYTL1	5	1.16822	1	0.645161	6	1.02916
DAGLB	5	1.16822	1	0.645161	6	1.02916
DAPK2	6	1.40187	0	0	6	1.02916
DBX2	3	0.700935	3	1.93548	6	1.02916
DCAF10	3	0.700935	3	1.93548	6	1.02916
DCAF15	5	1.16822	1	0.645161	6	1.02916
DCAF8	4	0.934579	2	1.29032	6	1.02916
DCUN1D1	4	0.934579	2	1.29032	6	1.02916
DDX19B	5	1.16822	1	0.645161	6	1.02916
DDX25	5	1.16822	1	0.645161	6	1.02916
DDX49	6	1.40187	0	0	6	1.02916
DDX51	6	1.40187	0	0	6	1.02916
DDX56	5	1.16822	1	0.645161	6	1.02916
DDX59	5	1.16822	1	0.645161	6	1.02916
DECR2	6	1.40187	0	0	6	1.02916
DEDD2	5	1.16822	1	0.645161	6	1.02916
DEF6	6	1.40187	0	0	6	1.02916
DEK	5	1.16822	1	0.645161	6	1.02916
DEPDC4	6	1.40187	0	0	6	1.02916
DERL1	5	1.16822	1	0.645161	6	1.02916
DFFA	4	0.934579	2	1.29032	6	1.02916
DHDDS	5	1.16822	1	0.645161	6	1.02916
DHFR2	4	0.934579	2	1.29032	6	1.02916
DHRS2	5	1.16822	1	0.645161	6	1.02916
DIO2	2	0.46729	4	2.58065	6	1.02916
DIPK1C	6	1.40187	0	0	6	1.02916
DIPK2A	5	1.16822	1	0.645161	6	1.02916
DIXDC1	5	1.16822	1	0.645161	6	1.02916
DKC1	5	1.16822	1	0.645161	6	1.02916
DKK3	4	0.934579	2	1.29032	6	1.02916
DLL4	4	0.934579	2	1.29032	6	1.02916
DLX2	5	1.16822	1	0.645161	6	1.02916
DLX4	6	1.40187	0	0	6	1.02916
DMRTA1	4	0.934579	2	1.29032	6	1.02916
DMRTC2	5	1.16822	1	0.645161	6	1.02916
DMWD	5	1.16822	1	0.645161	6	1.02916
DNAH14	3	0.700935	3	1.93548	6	1.02916
DNAJB12	5	1.16822	1	0.645161	6	1.02916
DNAJB14	5	1.16822	1	0.645161	6	1.02916
DNAJB2	6	1.40187	0	0	6	1.02916
DNAJC25	3	0.700935	3	1.93548	6	1.02916
DNAJC8	6	1.40187	0	0	6	1.02916
DONSON	4	0.934579	2	1.29032	6	1.02916
DQX1	4	0.934579	2	1.29032	6	1.02916
DRAP1	5	1.16822	1	0.645161	6	1.02916
DRD3	4	0.934579	2	1.29032	6	1.02916
DRGX	6	1.40187	0	0	6	1.02916
DUSP11	5	1.16822	1	0.645161	6	1.02916
E2F4	5	1.16822	1	0.645161	6	1.02916
EBNA1BP2	4	0.934579	2	1.29032	6	1.02916
ECD	5	1.16822	1	0.645161	6	1.02916
ECI1	5	1.16822	1	0.645161	6	1.02916
ECM1	6	1.40187	0	0	6	1.02916
EDA2R	5	1.16822	1	0.645161	6	1.02916
EEF1A1	5	1.16822	1	0.645161	6	1.02916
EEF1D	6	1.40187	0	0	6	1.02916
EFCAB1	2	0.46729	4	2.58065	6	1.02916
EFEMP2	5	1.16822	1	0.645161	6	1.02916
EGFL8	5	1.16822	1	0.645161	6	1.02916
EGLN1	4	0.934579	2	1.29032	6	1.02916
EGLN2	6	1.40187	0	0	6	1.02916
EHF	5	1.16822	1	0.645161	6	1.02916
EIF2B1	3	0.700935	3	1.93548	6	1.02916
EIF2S3	3	0.700935	3	1.93548	6	1.02916
EIF4H	5	1.16822	1	0.645161	6	1.02916
ELAC1	4	0.934579	2	1.29032	6	1.02916
ELK4	6	1.40187	0	0	6	1.02916
ELP5	4	0.934579	2	1.29032	6	1.02916
EMC2	4	0.934579	2	1.29032	6	1.02916
EMILIN3	4	0.934579	2	1.29032	6	1.02916
EMX2	4	0.934579	2	1.29032	6	1.02916
ENDOU	6	1.40187	0	0	6	1.02916
ENO1	6	1.40187	0	0	6	1.02916
ENOSF1	5	1.16822	1	0.645161	6	1.02916
ENPP7	5	1.16822	1	0.645161	6	1.02916
ENTPD1	5	1.16822	1	0.645161	6	1.02916
ENTPD6	6	1.40187	0	0	6	1.02916
EPYC	3	0.700935	3	1.93548	6	1.02916
ERMAP	3	0.700935	3	1.93548	6	1.02916
ERO1A	5	1.16822	1	0.645161	6	1.02916
ERVW-1	4	0.934579	2	1.29032	6	1.02916
