Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
YLPM1	30	7.00935	6	3.87097
ACAN	29	6.7757	7	4.51613
ADAMTSL1	29	6.7757	4	2.58065
ADGRB3	29	6.7757	8	5.16129
AKAP13	29	6.7757	4	2.58065
CACNA1G	29	6.7757	3	1.93548
CARD11	29	6.7757	9	5.80645
CDK12	29	6.7757	5	3.22581
CELSR2	29	6.7757	5	3.22581
CEP290	29	6.7757	8	5.16129
CIC	29	6.7757	2	1.29032
COL14A1	29	6.7757	5	3.22581
COL4A4	29	6.7757	3	1.93548
CTNNB1	29	6.7757	6	3.87097
CUL9	29	6.7757	6	3.87097
DMXL1	29	6.7757	9	5.80645
DOCK5	29	6.7757	6	3.87097
DOCK8	29	6.7757	5	3.22581
FAM135B	29	6.7757	8	5.16129
FLT4	29	6.7757	3	1.93548
GPR158	29	6.7757	9	5.80645
IGSF10	29	6.7757	7	4.51613
KCNA4	29	6.7757	8	5.16129
LAMA4	29	6.7757	4	2.58065
MGAM	29	6.7757	5	3.22581
MTUS2	29	6.7757	4	2.58065
NOTCH3	29	6.7757	5	3.22581
NUGGC	29	6.7757	4	2.58065
PKDREJ	29	6.7757	6	3.87097
POLE	29	6.7757	6	3.87097
RGS12	29	6.7757	0	0
SALL1	29	6.7757	9	5.80645
SIPA1L1	29	6.7757	4	2.58065
SLIT1	29	6.7757	4	2.58065
TCF20	29	6.7757	4	2.58065
TCHH	29	6.7757	5	3.22581
THSD7A	29	6.7757	6	3.87097
TRPC4	29	6.7757	9	5.80645
ZC3H13	29	6.7757	7	4.51613
ATG2A	28	6.54206	3	1.93548
CACNA1D	28	6.54206	3	1.93548
CACNA1F	28	6.54206	6	3.87097
CADPS	28	6.54206	6	3.87097
CDH18	28	6.54206	5	3.22581
CHD3	28	6.54206	3	1.93548
COL18A1	28	6.54206	3	1.93548
COL1A2	28	6.54206	6	3.87097
DLGAP2	28	6.54206	3	1.93548
GREB1	28	6.54206	6	3.87097
GRM5	28	6.54206	5	3.22581
IRS4	28	6.54206	5	3.22581
ITPR2	28	6.54206	6	3.87097
KCNH7	28	6.54206	7	4.51613
KIAA1217	28	6.54206	5	3.22581
MED12L	28	6.54206	7	4.51613
MTCL1	28	6.54206	3	1.93548
MYH13	28	6.54206	5	3.22581
MYH6	28	6.54206	6	3.87097
MYO7A	28	6.54206	5	3.22581
NBEAL2	28	6.54206	4	2.58065
NLRP7	28	6.54206	7	4.51613
NPAP1	28	6.54206	6	3.87097
PCDHB7	28	6.54206	6	3.87097
PKD1L1	28	6.54206	7	4.51613
PLCG2	28	6.54206	7	4.51613
PLXNB1	28	6.54206	1	0.645161
PLXNB3	28	6.54206	4	2.58065
POLQ	28	6.54206	7	4.51613
PTPRC	28	6.54206	10	6.45161
RANBP2	28	6.54206	6	3.87097
SRRM2	28	6.54206	3	1.93548
TRPM3	28	6.54206	7	4.51613
TULP4	28	6.54206	5	3.22581
USF3	28	6.54206	6	3.87097
WDFY3	28	6.54206	6	3.87097
XYLT2	28	6.54206	1	0.645161
ABCA2	27	6.30841	5	3.22581
ADAMTS12	27	6.30841	7	4.51613
ADAMTS9	27	6.30841	6	3.87097
ANK1	27	6.30841	9	5.80645
ARID1B	27	6.30841	4	2.58065
AXIN2	27	6.30841	5	3.22581
BRINP3	27	6.30841	5	3.22581
C3	27	6.30841	4	2.58065
CDH2	27	6.30841	5	3.22581
CEP170	27	6.30841	8	5.16129
CFH	27	6.30841	5	3.22581
CHD5	27	6.30841	6	3.87097
CHL1	27	6.30841	4	2.58065
CLUH	27	6.30841	1	0.645161
COL5A2	27	6.30841	8	5.16129
DENND4B	27	6.30841	4	2.58065
DOP1A	27	6.30841	3	1.93548
GRIA1	27	6.30841	5	3.22581
GRIA2	27	6.30841	8	5.16129
HRNR	27	6.30841	7	4.51613
KATNIP	27	6.30841	4	2.58065
KIAA1549	27	6.30841	3	1.93548
LAMC3	27	6.30841	2	1.29032
MIA3	27	6.30841	4	2.58065
MPDZ	27	6.30841	7	4.51613
NCOR1	27	6.30841	5	3.22581
NEXMIF	27	6.30841	7	4.51613
NSD1	27	6.30841	6	3.87097
PCDHB2	27	6.30841	5	3.22581
PCDHGA5	27	6.30841	2	1.29032
PTEN	27	6.30841	8	5.16129
PTPN13	27	6.30841	8	5.16129
RPL22	27	6.30841	1	0.645161
SCAF4	27	6.30841	4	2.58065
SHANK1	27	6.30841	6	3.87097
SHPRH	27	6.30841	7	4.51613
STAB2	27	6.30841	6	3.87097
SYCP2	27	6.30841	6	3.87097
TANC2	27	6.30841	3	1.93548
TENM4	27	6.30841	8	5.16129
TET3	27	6.30841	3	1.93548
TRHDE	27	6.30841	5	3.22581
UGGT2	27	6.30841	7	4.51613
VPS13D	27	6.30841	6	3.87097
YTHDC2	27	6.30841	3	1.93548
ZAN	27	6.30841	5	3.22581
ZC3H18	27	6.30841	5	3.22581
ZNF804A	27	6.30841	6	3.87097
ACVR1B	26	6.07477	2	1.29032
ASCC3	26	6.07477	4	2.58065
ATG2B	26	6.07477	6	3.87097
BDP1	26	6.07477	3	1.93548
BICRA	26	6.07477	2	1.29032
BOD1L1	26	6.07477	10	6.45161
CCDC73	26	6.07477	7	4.51613
CD93	26	6.07477	4	2.58065
CDH8	26	6.07477	9	5.80645
CFAP65	26	6.07477	3	1.93548
DCLK1	26	6.07477	6	3.87097
DIP2B	26	6.07477	4	2.58065
DLGAP3	26	6.07477	3	1.93548
