UGGT2	27	7
VPS13D	27	6
YTHDC2	27	3
ZAN	27	5
ZC3H18	27	5
ZNF804A	27	6
ACVR1B	26	2
ASCC3	26	4
ATG2B	26	6
BDP1	26	3
BICRA	26	2
BOD1L1	26	10
CCDC73	26	7
CD93	26	4
CDH8	26	9
CFAP65	26	3
DCLK1	26	6
DIP2B	26	4
DLGAP3	26	3
DSP	26	4
ELOA2	26	3
EP300	26	7
FER1L6	26	7
FILIP1	26	7
FSIP2	26	4
FSTL5	26	6
GABRA5	26	7
GRIK3	26	6
GRM7	26	9
HDAC9	26	9
KCNB1	26	4
KCNH1	26	4
KSR2	26	3
MARF1	26	2
MECOM	26	4
MYLK	26	5
NF1	26	9
PCDH19	26	10
PCDH7	26	1
PCDHA13	26	10
PCDHA3	26	5
PHF20L1	26	3
POLD1	26	3
PPL	26	1
SEC16A	26	0
SETBP1	26	5
SMARCAD1	26	6
SOGA3	26	5
SORCS1	26	11
TET1	26	8
TNN	26	6
TOGARAM2	26	3
TRPM6	26	8
UTP20	26	3
ZNF318	26	4
ZNF518A	26	7
ZNF835	26	3
ABCA7	25	3
ABCC1	25	6
ADAMTS5	25	4
ADCY5	25	2
ALPK2	25	5
AMOTL1	25	5
ARHGAP21	25	8
ARHGAP31	25	2
ARHGAP35	25	4
ASTN1	25	10
ASXL1	25	4
CALD1	25	7
CASZ1	25	5
CDH11	25	2
CDH4	25	5
CDON	25	5
CHD1	25	4
COL4A5	25	6
DIP2C	25	3
EIF3A	25	4
EML5	25	5
ENAM	25	8
EPB41L3	25	3
FRMD4A	25	1
GRIK4	25	1
GRM1	25	5
GRM6	25	2
HCN4	25	3
HECW2	25	7
HLA-B	25	1
HNRNPL	25	2
ICE1	25	8
KDM6B	25	1
KIDINS220	25	4
KIF1A	25	7
KIF26A	25	0
KNL1	25	5
MAP7D1	25	1
MON2	25	4
MRC1	25	6
MUC4	25	4
MYH11	25	8
NES	25	4
NOL6	25	1
NRAP	25	5
NYAP2	25	9
PCDHA11	25	7
PCDHA7	25	4
PIK3C2G	25	4
PLXNB2	25	4
PPFIA2	25	6
PTPN14	25	6
RALGAPA1	25	4
SBF1	25	1
SLC4A3	25	8
SLIT3	25	3
SMARCA4	25	5
SMC2	25	3
SPTBN2	25	7
STAG1	25	3
THBS2	25	4
TNKS2	25	5
TNRC6C	25	1
TOP2B	25	4
TPO	25	6
TRPA1	25	4
TRPC3	25	4
TRPM2	25	3
TTK	25	5
USP35	25	2
WDR17	25	6
WWC3	25	5
ZFYVE26	25	7
ABCB1	24	6
ADAMTS18	24	10
ADCY2	24	9
ADGRB1	24	9
AFF3	24	4
ARHGAP20	24	3
